enc,ds,family,n,base_acc,aurc_msp,aurc_knnue,aurc_sentry,aurc_win_vs_knnue,ci,sentry_sig_better,knnue_sig_better,ece_base,ece_knnue
codebert,bigclone,binary_clone,2000,0.858,0.0449,0.0436,0.0707,-0.0271,"[-0.0339,-0.0195]",False,True,0.0786,0.0128
codebert,codechef,multiclass,1999,0.6893,0.1758,0.1709,0.1986,-0.0277,"[-0.0385,-0.0161]",False,True,0.05,0.0388
codebert,devign,binary_vuln,2000,0.5685,0.3585,0.3516,0.3654,-0.0138,"[-0.0329,+0.0061]",False,False,0.1387,0.0225
codebert,diversevul,binary_vuln,2000,0.941,0.0223,0.0224,0.0484,-0.026,"[-0.0368,-0.0165]",False,True,0.0499,0.0105
codebert,poj104,multiclass,2000,0.8845,0.02,0.0171,0.0451,-0.028,"[-0.0344,-0.0213]",False,True,0.204,0.0202
codebert,primevul,binary_vuln,2000,0.973,0.0097,0.0096,0.0253,-0.0157,"[-0.0244,-0.0085]",False,True,0.0244,0.0133
codebert,reveal,binary_vuln,2000,0.894,0.0409,0.0397,0.0426,-0.0029,"[-0.0090,+0.0036]",False,False,0.0728,0.0195
codet5p,bigclone,binary_clone,2000,0.814,0.0741,0.0557,0.067,-0.0113,"[-0.0159,-0.0066]",False,True,0.0732,0.0489
codet5p,codechef,multiclass,1999,0.6088,0.2676,0.239,0.2917,-0.0527,"[-0.0674,-0.0376]",False,True,0.0559,0.0376
codet5p,devign,binary_vuln,2000,0.581,0.3714,0.326,0.3848,-0.0588,"[-0.0799,-0.0356]",False,True,0.0943,0.029
codet5p,diversevul,binary_vuln,2000,0.9415,0.0273,0.0301,0.0391,-0.009,"[-0.0148,-0.0032]",False,True,0.0531,0.0076
codet5p,poj104,multiclass,2000,0.7195,0.1074,0.0876,0.1945,-0.1069,"[-0.1228,-0.0922]",False,True,0.5143,0.0275
codet5p,primevul,binary_vuln,2000,0.973,0.0094,0.0097,0.0188,-0.0091,"[-0.0145,-0.0043]",False,True,0.0252,0.0041
codet5p,reveal,binary_vuln,2000,0.8985,0.0535,0.0401,0.0469,-0.0068,"[-0.0127,-0.0013]",False,True,0.0765,0.0261
graphcodebert,bigclone,binary_clone,2000,0.8695,0.0295,0.027,0.0403,-0.0133,"[-0.0180,-0.0082]",False,True,0.0781,0.0191
graphcodebert,codechef,multiclass,1999,0.6798,0.1634,0.1585,0.1905,-0.032,"[-0.0414,-0.0222]",False,True,0.0207,0.038
graphcodebert,devign,binary_vuln,2000,0.593,0.3454,0.3133,0.339,-0.0257,"[-0.0428,-0.0064]",False,True,0.1427,0.0321
graphcodebert,diversevul,binary_vuln,2000,0.9415,0.0219,0.0236,0.0493,-0.0257,"[-0.0358,-0.0163]",False,True,0.0496,0.0105
graphcodebert,poj104,multiclass,2000,0.9235,0.0099,0.0081,0.0187,-0.0106,"[-0.0142,-0.0074]",False,True,0.1798,0.0178
graphcodebert,primevul,binary_vuln,2000,0.973,0.0108,0.0118,0.0241,-0.0123,"[-0.0192,-0.0060]",False,True,0.0241,0.0096
graphcodebert,reveal,binary_vuln,2000,0.9,0.0394,0.0345,0.0385,-0.004,"[-0.0105,+0.0038]",False,False,0.0718,0.0229
unixcoder,bigclone,binary_clone,2000,0.8065,0.1417,0.06,0.0639,-0.0039,"[-0.0082,-0.0000]",False,True,0.1837,0.0436
unixcoder,codechef,multiclass,1999,0.6593,0.2104,0.1817,0.2063,-0.0246,"[-0.0341,-0.0155]",False,True,0.0634,0.0521
unixcoder,devign,binary_vuln,2000,0.561,0.3448,0.3212,0.3639,-0.0427,"[-0.0612,-0.0253]",False,True,0.1925,0.037
unixcoder,diversevul,binary_vuln,2000,0.928,0.0311,0.0336,0.0444,-0.0108,"[-0.0194,-0.0017]",False,True,0.0518,0.0383
unixcoder,poj104,multiclass,2000,0.9215,0.0093,0.009,0.0172,-0.0082,"[-0.0113,-0.0054]",False,True,0.0269,0.0172
unixcoder,primevul,binary_vuln,2000,0.9575,0.012,0.0131,0.0216,-0.0085,"[-0.0159,-0.0023]",False,True,0.0334,0.0343
unixcoder,reveal,binary_vuln,2000,0.886,0.0491,0.0396,0.0469,-0.0073,"[-0.0137,-0.0003]",False,True,0.0744,0.036
