enc,ds,family,C,n,base_acc,aurc_msp,aurc_energy,aurc_maha,aurc_knn_dist,aurc_sentry,win_vs_msp,sig_msp,ci_msp,win_vs_energy,sig_energy,win_vs_maha,sig_maha
codebert,bigclone,binary_clone,2,2000,0.858,0.0449,0.0449,0.0991,0.1084,0.0671,-0.0221,False,"[-0.0285,-0.0148]",-0.0221,False,0.0321,True
codebert,codechef,multiclass,4,1999,0.6893,0.1758,0.2075,0.2434,0.2501,0.1986,-0.0228,False,"[-0.0350,-0.0113]",0.0089,False,0.0447,True
codebert,devign,binary_vuln,2,2000,0.5685,0.3585,0.3585,0.4442,0.4232,0.3966,-0.0381,False,"[-0.0621,-0.0130]",-0.0381,False,0.0476,True
codebert,diversevul,binary_vuln,2,2000,0.941,0.0223,0.0223,0.0882,0.0899,0.0336,-0.0113,False,"[-0.0175,-0.0059]",-0.0113,False,0.0545,True
codebert,poj104,multiclass,104,2000,0.8845,0.02,0.073,0.0797,0.08,0.0451,-0.0251,False,"[-0.0309,-0.0199]",0.0279,True,0.0346,True
codebert,primevul,binary_vuln,2,2000,0.973,0.0097,0.0097,0.045,0.044,0.0161,-0.0064,False,"[-0.0113,-0.0025]",-0.0064,False,0.0289,True
codebert,reveal,binary_vuln,2,2000,0.894,0.0409,0.0409,0.1179,0.1341,0.0428,-0.0019,False,"[-0.0056,+0.0020]",-0.0019,False,0.0751,True
codet5p,bigclone,binary_clone,2,2000,0.814,0.0741,0.0741,0.1277,0.1234,0.0783,-0.0042,False,"[-0.0113,+0.0021]",-0.0042,False,0.0495,True
codet5p,codechef,multiclass,4,1999,0.6088,0.2676,0.2761,0.3332,0.3151,0.2917,-0.0241,False,"[-0.0421,-0.0059]",-0.0157,False,0.0415,True
codet5p,devign,binary_vuln,2,2000,0.581,0.3714,0.3714,0.4184,0.4082,0.4282,-0.0569,False,"[-0.0848,-0.0270]",-0.0569,False,-0.0098,False
codet5p,diversevul,binary_vuln,2,2000,0.9415,0.0273,0.0273,0.0657,0.0691,0.0364,-0.0091,False,"[-0.0145,-0.0034]",-0.0091,False,0.0294,True
codet5p,poj104,multiclass,104,2000,0.7195,0.1074,0.1889,0.2134,0.2071,0.1945,-0.0872,False,"[-0.1014,-0.0734]",-0.0056,False,0.0189,False
codet5p,primevul,binary_vuln,2,2000,0.973,0.0094,0.0094,0.0332,0.0313,0.0145,-0.0051,False,"[-0.0095,-0.0015]",-0.0051,False,0.0187,True
codet5p,reveal,binary_vuln,2,2000,0.8985,0.0535,0.0535,0.1224,0.1474,0.0633,-0.0098,False,"[-0.0201,+0.0007]",-0.0098,False,0.0591,True
graphcodebert,bigclone,binary_clone,2,2000,0.8695,0.0295,0.0295,0.1021,0.1055,0.0406,-0.0111,False,"[-0.0158,-0.0064]",-0.0111,False,0.0616,True
graphcodebert,codechef,multiclass,4,1999,0.6798,0.1634,0.1868,0.256,0.2667,0.1905,-0.0271,False,"[-0.0370,-0.0177]",-0.0037,False,0.0655,True
graphcodebert,devign,binary_vuln,2,2000,0.593,0.3454,0.3454,0.4345,0.4115,0.3842,-0.0388,False,"[-0.0633,-0.0164]",-0.0388,False,0.0504,True
graphcodebert,diversevul,binary_vuln,2,2000,0.9415,0.0219,0.0219,0.0922,0.0891,0.0378,-0.016,False,"[-0.0225,-0.0100]",-0.016,False,0.0544,True
graphcodebert,poj104,multiclass,104,2000,0.9235,0.0099,0.0417,0.0467,0.045,0.0187,-0.0088,False,"[-0.0122,-0.0060]",0.023,True,0.028,True
graphcodebert,primevul,binary_vuln,2,2000,0.973,0.0108,0.0108,0.0466,0.0404,0.0194,-0.0085,False,"[-0.0134,-0.0041]",-0.0085,False,0.0272,True
graphcodebert,reveal,binary_vuln,2,2000,0.9,0.0393,0.0393,0.1175,0.1307,0.0415,-0.0022,False,"[-0.0086,+0.0051]",-0.0022,False,0.0761,True
unixcoder,bigclone,binary_clone,2,2000,0.8065,0.1092,0.085,0.119,0.1175,0.0647,0.0445,True,"[+0.0245,+0.0532]",0.0204,True,0.0543,True
unixcoder,codechef,multiclass,4,1999,0.6593,0.2104,0.2389,0.2724,0.2571,0.2063,0.0041,False,"[-0.0128,+0.0218]",0.0326,True,0.0661,True
unixcoder,devign,binary_vuln,2,2000,0.561,0.3448,0.3448,0.429,0.4222,0.4078,-0.063,False,"[-0.0893,-0.0411]",-0.063,False,0.0212,False
unixcoder,diversevul,binary_vuln,2,2000,0.928,0.0318,0.0318,0.0917,0.0829,0.0415,-0.0097,False,"[-0.0175,-0.0014]",-0.0097,False,0.0502,True
unixcoder,poj104,multiclass,104,2000,0.9215,0.0093,0.0211,0.0343,0.0294,0.0172,-0.0079,False,"[-0.0109,-0.0048]",0.0039,False,0.0171,True
unixcoder,primevul,binary_vuln,2,2000,0.9575,0.0133,0.0133,0.0539,0.0522,0.0205,-0.0072,False,"[-0.0139,-0.0012]",-0.0072,False,0.0334,True
unixcoder,reveal,binary_vuln,2,2000,0.886,0.0496,0.0496,0.137,0.1506,0.0508,-0.0012,False,"[-0.0102,+0.0086]",-0.0012,False,0.0862,True
