enc,ds,family,n,acc_base,acc_v2,aurc_knnue,aurc_sentryv2,win,ci,v2_sig_better,knnue_sig_better
codebert,bigclone,binary_clone,2000,0.858,0.864,0.0436,0.0527,-0.0091,"[-0.0199,+0.0004]",False,False
codebert,codechef,multiclass,1999,0.6893,0.7059,0.1709,0.1998,-0.0288,"[-0.0466,-0.0106]",False,True
codebert,devign,binary_vuln,2000,0.5685,0.581,0.3516,0.3542,-0.0026,"[-0.0142,+0.0083]",False,False
codebert,diversevul,binary_vuln,2000,0.941,0.941,0.0224,0.0224,0.0,"[+0.0000,+0.0000]",False,False
codebert,poj104,multiclass,2000,0.8845,0.8515,0.0171,0.0335,-0.0164,"[-0.0204,-0.0121]",False,True
codebert,primevul,binary_vuln,2000,0.973,0.973,0.0096,0.0096,0.0,"[+0.0000,+0.0000]",False,False
codebert,reveal,binary_vuln,2000,0.894,0.894,0.0397,0.0397,0.0,"[+0.0000,+0.0000]",False,False
codet5p,bigclone,binary_clone,2000,0.814,0.847,0.0557,0.0482,0.0075,"[+0.0009,+0.0129]",True,False
codet5p,codechef,multiclass,1999,0.6088,0.6483,0.239,0.2187,0.0203,"[+0.0044,+0.0361]",True,False
codet5p,devign,binary_vuln,2000,0.581,0.6005,0.326,0.3234,0.0026,"[-0.0230,+0.0265]",False,False
codet5p,diversevul,binary_vuln,2000,0.9415,0.9415,0.0301,0.0429,-0.0128,"[-0.0200,-0.0054]",False,True
codet5p,poj104,multiclass,2000,0.7195,0.743,0.0876,0.0839,0.0037,"[-0.0028,+0.0099]",False,False
codet5p,primevul,binary_vuln,2000,0.973,0.973,0.0097,0.0097,0.0,"[+0.0000,+0.0000]",False,False
codet5p,reveal,binary_vuln,2000,0.8985,0.8985,0.0401,0.0439,-0.0038,"[-0.0136,+0.0033]",False,False
graphcodebert,bigclone,binary_clone,2000,0.8695,0.885,0.027,0.0292,-0.0022,"[-0.0083,+0.0021]",False,False
graphcodebert,codechef,multiclass,1999,0.6798,0.7034,0.1585,0.1691,-0.0106,"[-0.0245,+0.0016]",False,False
graphcodebert,devign,binary_vuln,2000,0.593,0.5895,0.3133,0.3233,-0.01,"[-0.0286,+0.0075]",False,False
graphcodebert,diversevul,binary_vuln,2000,0.9415,0.942,0.0236,0.0236,-0.0001,"[-0.0002,+0.0001]",False,False
graphcodebert,poj104,multiclass,2000,0.9235,0.9055,0.0081,0.0156,-0.0076,"[-0.0110,-0.0045]",False,True
graphcodebert,primevul,binary_vuln,2000,0.973,0.973,0.0118,0.0118,0.0,"[+0.0000,+0.0000]",False,False
graphcodebert,reveal,binary_vuln,2000,0.9,0.9,0.0345,0.0345,0.0,"[+0.0000,+0.0000]",False,False
unixcoder,bigclone,binary_clone,2000,0.8065,0.827,0.06,0.0542,0.0058,"[+0.0033,+0.0082]",True,False
unixcoder,codechef,multiclass,1999,0.6593,0.6723,0.1817,0.2157,-0.0339,"[-0.0512,-0.0175]",False,True
unixcoder,devign,binary_vuln,2000,0.561,0.5845,0.3212,0.3019,0.0193,"[+0.0067,+0.0315]",True,False
unixcoder,diversevul,binary_vuln,2000,0.928,0.9405,0.0336,0.0468,-0.0132,"[-0.0241,-0.0025]",False,True
unixcoder,poj104,multiclass,2000,0.9215,0.925,0.009,0.009,-0.0,"[-0.0003,+0.0002]",False,False
unixcoder,primevul,binary_vuln,2000,0.9575,0.9715,0.0131,0.0208,-0.0077,"[-0.0146,-0.0014]",False,True
unixcoder,reveal,binary_vuln,2000,0.886,0.895,0.0396,0.0387,0.0009,"[-0.0023,+0.0033]",False,False
